,carbohydrates_100g,energy_100g,fiber_100g,nutrition-score-fr_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
33806,38.0,1184.0,2.3,9.0,11.0,6.2,0.354330708661417,1.0
33807,14.6,590.0,0.6,1.0,7.1,0.6,0.433070866141732,0.9
33808,15.7,280.0,0.9,-3.0,0.7,0.0,0.0,14.4
33809,11.0,410.0,1.2,1.0,5.4,1.6,0.275590551181102,2.9
33810,61.6,649.0,1.3,0.0,0.5,0.0,0.0,0.0
33811,5.3,344.0,6.8,-2.0,3.7,1.5,0.291338582677165,4.4
33812,19.2,649.0,0.3,0.0,9.8,2.0,0.271653543307087,3.7
33813,73.0,1526.0,3.0,-5.0,11.0,0.3,0.0039370078740157,2.5
33814,0.0,1.0,0.0,1.0,0.0,0.0,0.0078740157480315,0.0
33815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33816,44.475,1841.0,0.0,23.0,5.0,10.5,0.236220472440945,29.4
33817,11.0,194.0,1.4100000000000001,3.25,3.495,2.0,0.297,8.5
33818,10.6,176.0,0.0,14.0,0.0,0.0,0.0039370078740157,10.6
33819,63.7,2195.0,2.6,19.0,4.8,8.6,0.0708661417322834,39.2
33820,67.0,2014.0,3.2,16.0,8.6,5.4,0.224409448818898,33.0
33821,26.0,1200.0,1.035,17.0,4.5,10.0,0.0590551181102362,25.0
33822,19.0,824.0,0.0,17.0,0.0,0.0,0.0,10.0
33823,11.225,766.0,3.5,1.0,6.2,0.5,0.62992125984252,0.5
33824,10.3,780.0,1.16,8.0,2.6,1.5,0.984251968503937,5.3
33825,1.4,1235.0,0.35,19.0,14.0,9.9,0.71259842519685,1.0
33826,48.8,1690.0,1.885,18.0,4.7,4.2,0.216535433070866,32.2
33827,18.0,820.0,1.5,9.0,5.6,6.1,0.047244094488189,15.0
33828,17.6,418.0,0.36,2.25,3.1,2.175,0.0,15.1
33829,55.0,1946.0,0.0,15.0,4.9,2.2,0.248031496062992,29.0
33830,14.6,352.0,0.0,2.0,3.3,0.9,0.05,14.5
33831,18.0,510.0,0.0,2.0,5.5,1.9,0.0393700787401575,16.4
33832,5.6,946.0,2.0,12.0,2.0,2.8,1.02362204724409,3.6
33833,12.5,423.0,1.6,-1.0,4.4,1.2,0.114173228346457,2.4
33834,62.7,2021.0,3.4,21.0,6.9,10.3,0.590551181102362,16.8
33835,62.0,2243.0,1.3,16.0,2.0,3.0,0.78740157480315,6.8
33836,1.7,59.0,1.295,3.0,1.2,0.1,0.291338582677165,1.2
33837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33839,0.0,1.0,0.0,1.0,0.0,0.0,0.01,0.0
33840,62.8,2180.0,2.4,22.0,6.0,15.4,0.12992125984252,40.5
33841,3.8,1101.0,1.2,13.0,9.9,5.9,0.551181102362205,3.8
33842,53.0,1302.0,2.5,8.0,9.8,1.6,0.47244094488189,10.0
33843,33.0,1000.0,2.3,1.0,7.4,1.2,0.47244094488189,0.0
33844,0.3,607.0,0.0,-1.0,12.3,2.7,0.12893700787401602,0.7
