,carbohydrates_100g,energy_100g,fiber_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
81,70.0,1978.0,3.1,7.9,7.0,0.21259842519685,25.0
82,6.6,388.0,2.1,5.2,1.6,0.393700787401575,5.8
83,1.7,479.0,0.7,18.0,1.0,0.94488188976378,0.7
84,57.0,2049.0,4.5,7.0,13.0,0.118110236220472,30.0
85,7.1,657.0,1.0,14.5,0.8,0.339,1.3
86,41.0,947.0,2.6,10.0,0.2,0.346456692913386,6.5
87,33.0,883.0,6.8,12.0,0.3,0.362204724409449,6.0
88,17.0,1106.0,1.5,12.5,2.0,0.492125984251969,2.0
89,9.0,667.0,1.5,7.3,5.3,0.393700787401575,1.0
90,53.0,2194.0,3.0,11.5,4.7,0.708661417322835,7.5
91,2.3,1179.0,0.0,14.4,7.3,1.05511811023622,2.3
92,8.9,477.0,0.0,7.3,1.85,0.31496062992126,0.6
93,12.1,794.0,2.5,12.1,1.0,0.393700787401575,2.3
94,38.0,1088.0,2.5,8.4,2.9,0.551181102362205,2.0
95,42.0,1048.0,5.4,9.7,0.3,0.433070866141732,3.7
96,68.0,1850.0,3.1,6.8,2.1,0.153543307086614,28.0
97,55.0,1731.0,1.2,4.9,8.7,0.512,23.0
98,61.8,2088.0,6.1,6.4,6.3,0.221,21.7
99,29.5,1070.0,3.5,10.0,4.5,0.7,3.0
100,78.5,1965.0,1.4,5.5,1.5,0.0374015748031496,32.0
101,0.1,862.0,0.0,17.8,2.9,0.259842519685039,0.2
102,4.5,749.0,1.8,10.7,3.2,0.594488188976378,1.0
103,19.5,691.0,1.9,7.2,3.4,0.47244094488189,1.0
104,60.3,1751.0,1.7,5.2,11.4,0.236220472440945,35.4
105,19.8,515.0,0.5,2.9,2.1,0.08,13.4
106,17.0,882.0,1.2,10.9,6.8,0.433070866141732,0.8
107,6.2,349.0,2.4,4.3,1.2,0.47244094488189,5.4
108,67.0,1340.0,6.1,4.6,0.5,0.295,42.0
109,4.5,1356.0,1.0,14.3,10.8,1.08267716535433,2.9
110,3.0,1109.0,1.0,11.1,8.9,0.62992125984252,2.2
111,5.4,940.0,1.1,11.7,7.1,0.62992125984252,3.4
112,33.2,1170.0,2.8,7.7,2.3,0.444881889763779,2.1
113,49.0,1217.0,2.0,9.0,0.9,0.425196850393701,5.8
114,11.2,689.0,2.3,6.9,6.0,0.275590551181102,0.6
115,6.2,523.0,0.9,10.0,2.3,0.246062992125984,0.5
116,1.0,546.0,0.5,15.0,3.6,0.354330708661417,0.6
117,3.0,782.0,2.0,11.9,3.3,0.47244094488189,1.0
118,13.0,565.0,1.4,6.3,2.9,0.433070866141732,1.6
119,28.3,1244.0,2.7,3.5,12.4,0.04,19.8
120,54.2,1374.0,2.3,8.8,2.0,0.433070866141732,8.0
121,61.0,2146.0,1.0,6.0,17.0,0.5,24.0
122,5.3,238.0,1.6,4.9,0.5,0.393700787401575,1.1
123,12.0,875.0,1.2,15.0,1.3,0.708661417322835,0.9
124,5.5,283.0,3.0,1.0,0.2,0.275590551181102,4.0
125,9.3,282.0,1.3,3.2,0.7,0.354330708661417,3.9
126,7.1,546.0,2.3,7.8,2.0,0.271653543307087,1.8
127,63.1,1891.0,4.8,6.9,4.2,0.327,19.8
128,1.3,410.0,0.5,21.5,0.2,0.669291338582677,1.2
129,4.9,604.0,0.0,13.0,4.2,0.228346456692913,0.0
130,50.0,2270.0,5.2,5.2,3.6,0.756,2.0
131,51.0,2296.0,5.0,5.5,3.2,0.68503937007874,1.3
132,50.0,2290.0,4.8,6.4,3.2,0.835,2.0
133,51.0,2298.0,5.1,5.6,3.2,0.720472440944882,1.5
134,62.9,2112.0,2.3,7.6,15.6,0.224409448818898,34.6
135,8.7,481.0,4.3,6.9,1.8,0.47,0.9
136,33.9,882.0,1.2,4.6,3.2,0.0393700787401575,26.4
137,10.5,677.0,1.0,6.1,6.7,0.31496062992126,1.0
138,22.1,570.0,1.3,6.0,0.4,0.4,3.9
139,12.0,576.0,2.0,7.2,1.0,0.2,1.7
140,17.6,690.0,1.7,7.7,3.3,0.25,1.9
141,16.0,718.0,0.7,12.0,0.5,0.232283464566929,0.5
142,5.0,177.0,0.4,4.0,0.1,0.0708661417322835,4.6
143,45.4,1877.0,1.7,5.8,15.0,0.307086614173228,29.9
144,15.6,649.0,3.4,8.1,0.8,0.393700787401575,1.7
145,14.5,613.0,1.7,9.0,2.0,0.31496062992126,2.5
146,11.6,583.0,1.7,4.1,4.7,0.189,1.5
147,61.4,1694.0,7.6,8.0,2.7,0.303149606299213,24.9
148,1.5,980.0,0.8,14.0,3.5,0.307086614173228,0.0
149,5.5,809.0,0.8,11.7,3.6,0.4,1.5
150,70.0,1720.0,3.8,12.0,3.5,0.66,4.4
151,17.8,585.0,1.6,7.6,1.3,0.433,1.7
152,48.0,1910.0,2.9,6.6,5.3,0.0512,38.0
153,0.8,1322.0,0.5,16.0,10.0,1.02,0.5
154,50.0,1062.0,2.5,8.0,0.3,0.492125984251968,3.0
155,16.0,1001.0,1.4,12.0,4.3,0.62992125984252,1.3
156,1.6,394.0,0.7,9.5,3.5,0.314173228346457,0.0
157,2.5,1235.0,0.0,10.3,10.4,0.65,0.9
158,16.0,847.0,1.2,9.3,5.5,0.334645669291339,2.4
159,12.0,490.0,1.3,4.7,2.5,0.295275590551181,4.0
160,5.2,326.0,2.4,1.1,0.6,0.385826771653543,4.0
161,9.7,412.0,1.5,5.1,1.5,0.303149606299213,3.8
162,51.0,2300.0,4.3,6.1,3.0,0.62992125984252,2.6
163,11.6,505.0,1.3,6.6,2.4,0.31496062992126,2.0
164,23.0,961.0,2.2,14.0,3.9,0.551,3.2
165,53.0,2003.0,4.6,15.0,3.7,0.590551181102362,2.1
166,68.0,1863.0,4.2,6.5,4.2,0.34251968503937,27.0
167,25.7,837.0,3.4,8.7,3.0,0.653543307086614,3.4
168,74.0,1619.0,4.0,10.0,0.6,0.590551181102362,7.2
169,14.0,500.0,1.0,7.5,1.0,0.437,1.5
170,49.7,1926.0,2.8,5.9,11.6,0.15748031496063,32.8
171,50.0,1975.0,0.3,5.1,6.3,0.165354330708661,32.0
172,75.1,1585.0,7.4,8.4,0.6,0.417322834645669,24.4
173,11.7,356.0,2.0,3.7,0.3,0.031496062992126,11.0
174,60.0,2039.0,5.9,7.1,6.0,0.220472440944882,29.0
175,74.0,1705.0,3.4,12.0,2.6,0.0393700787401575,5.3
176,69.7,2087.0,1.9,5.6,15.1,0.127165354330709,34.2
177,2.9,628.0,3.5,4.4,3.2,0.279527559055118,2.4
178,62.0,2177.0,2.0,8.5,15.0,0.216535433070866,31.0
179,68.0,1839.0,5.0,9.5,7.5,0.444881889763779,22.0
180,24.3,927.0,3.2,10.1,2.0,0.633858267716535,3.0
181,56.8,1702.0,4.3,7.5,9.7,0.2009,27.4
182,60.0,2197.0,2.8,7.0,12.0,0.248031496062992,29.0
183,60.0,2076.0,4.5,6.9,13.0,0.161417322834646,32.2
184,50.4,1540.0,2.1,8.0,3.4,0.295275590551181,12.6
185,26.5,925.0,3.6,9.0,1.0,0.673228346456693,4.0
186,75.0,1887.0,1.8,7.5,6.6,0.22,26.5
187,18.3,1073.0,0.7,9.6,8.6,0.338582677165354,1.3
188,62.5,2042.0,5.1,8.9,8.8,0.0984251968503937,22.1
189,70.0,1534.0,2.5,12.5,0.7,0.62992125984252,3.5
190,59.0,1898.0,2.0,6.0,2.0,0.307086614173228,29.0
191,67.7,1490.0,7.8,13.2,0.3,0.0393700787401575,4.0
192,79.3,1623.0,5.3,6.9,1.1,0.381889763779527,25.2
193,68.0,2060.0,2.0,6.5,15.0,0.3,26.0
194,67.5,2051.0,2.7,6.1,12.2,0.26,33.0
195,68.4,1718.0,6.4,7.9,4.3,0.141732283464567,25.7
196,64.1,2076.0,4.1,6.5,13.1,0.23,33.6
197,49.8,1508.0,1.9,8.4,8.7,0.433070866141732,13.5
198,16.7,479.0,0.3,2.9,2.1,0.0433070866141732,13.5
199,3.0,102.0,0.2,0.5,0.1,0.0511811023622047,3.0
200,50.0,1121.0,3.0,8.0,0.4,0.492125984251968,5.5
201,72.0,2042.0,3.1,7.5,11.0,0.299212598425197,27.0
202,73.0,1900.0,5.0,8.0,4.0,0.354,20.0
203,62.0,2130.0,2.5,7.5,14.0,0.208661417322835,34.0
204,1.7,1286.0,0.0,13.0,10.0,0.748031496062992,1.0
205,23.9,599.0,0.9,4.2,0.4,0.236220472440945,1.8
206,55.4,1847.0,3.0,5.5,3.2,0.29,29.7
207,54.2,1374.0,2.3,8.8,2.0,0.433070866141732,8.0
208,70.0,1980.0,0.41,6.5,12.0,0.63,32.0
209,3.9,952.0,1.8267876662954934,1.4,2.6,0.322834645669291,0.9
210,15.0,187.0,1.5,9.9,6.2,0.334645669291339,3.3
211,1.1,801.0,3.0,13.9,1.5,0.303149606299213,1.1
212,26.4,1031.0,1.8267876662954934,10.3,1.5,0.425196850393701,1.9
213,16.0,964.0,1.4,9.6,3.4,0.433070866141732,2.9
214,25.0,931.0,1.0,2.5,7.5,0.0551181102362205,22.0
215,28.1,1147.0,0.2,4.0,9.0,0.118110236220472,22.4
216,58.9,2134.0,4.7,7.3,16.3,0.22,26.1
217,41.0,1905.0,2.9,6.6,18.0,0.125984251968504,32.0
218,56.0,1803.0,1.5,4.7,2.1,0.393700787401575,30.0
219,20.4,594.0,0.0,5.3,0.7,0.0511811023622047,20.2
220,71.6,1635.9,5.0,14.0,1.62,0.0330708661417323,1.6
221,67.0,1850.0,3.0,9.5,7.9,0.433070866141732,1.1
222,15.0,536.0,0.0,1.2,5.2,0.02,13.5
223,13.0,788.0,1.3,6.6,6.6,0.299212598425197,1.3
224,0.3,142.0,0.0,0.4,0.0,0.0,0.3
225,15.5,554.0,1.8267876662954934,7.2,1.6,0.236220472440945,0.6
226,13.0,667.0,1.2,6.3,5.0,0.307086614173228,2.2
227,49.9,1789.0,6.9,11.7,0.8,0.15748031496063,19.7
228,7.1,341.0,1.8,4.5,2.5,0.4,0.5
229,0.7,410.0,1.8267876662954934,16.0,0.4,0.484251968503937,0.0
230,15.6,674.0,1.0,5.5,4.6,0.374015748031496,2.9
231,67.7,1985.0,3.7,7.7,12.0,0.338582677165354,23.2
232,31.4,975.0,0.5,5.0,5.6,0.0748031496062992,25.9
233,25.0,750.0,0.0,4.3,0.7,0.47244094488189,5.3
234,0.5,181.0,0.8,4.0,0.4,0.0708661417322834,0.0
235,9.5,550.0,1.8267876662954934,6.3,1.2,0.15748031496063,0.0
236,60.0,2079.0,6.1,7.2,11.0,0.236220472440945,28.0
237,62.0,2094.0,3.5,7.3,15.0,0.208661417322835,33.0
238,20.7,576.0,2.1,4.8,2.4,0.0748031496062992,19.7
239,62.2,1874.0,1.8267876662954934,9.3,3.9,0.0551181102362205,21.3
240,4.9,236.0,0.9,1.8,1.5,0.307086614173228,0.9
241,7.0,1002.0,1.0,9.0,14.0,0.71,7.0
242,20.0,965.0,0.8,8.1,7.1,0.307086614173228,1.6
243,1.1,594.0,1.8267876662954934,16.2,3.4,0.393700787401575,0.9
244,54.7,1792.0,2.5,4.9,2.3,0.393700787401575,22.0
245,0.8,978.0,0.5,17.1,2.3,0.271653543307087,0.6
246,37.3,1082.0,4.0,9.7,4.0,0.47244094488189,3.0
247,15.9,994.0,1.1,15.9,2.1,0.980314960629921,3.0
248,1.24,932.0,1.8267876662954934,11.8,5.98,1.02362204724409,1.24
249,73.0,1554.0,2.3,6.3,2.1,0.228346456692913,26.0
250,72.0,1692.0,5.0,11.0,3.0,0.01,6.0
251,2.0,980.0,1.8267876662954934,11.6,7.5,0.877952755905512,2.0
252,2.6,902.0,0.7,13.1,9.1,0.236220472440945,2.6
253,5.6,1594.0,0.0,9.4,12.4,0.641732283464567,1.6
254,70.0,1934.0,3.1,7.5,9.9,0.511811023622047,26.0
255,17.0,618.0,0.0,3.7,4.1,0.047244094488189,15.0
256,1.1,684.0,1.5,16.9,1.6,0.012,0.7
257,20.7,703.0,2.1,5.6,3.0,0.228346456692913,3.9
258,18.0,377.0,1.6,0.6,0.1,0.0,16.0
259,19.0,543.0,1.9,4.0,0.4,0.34251968503937,4.0
260,41.0,945.0,6.4,4.4,1.2,0.511811023622047,3.4
261,7.6,450.0,2.3,6.9,1.8,0.433070866141732,1.1
262,52.0,2273.0,4.5,5.6,3.1,0.590551181102362,2.0
263,20.6,756.0,1.1,8.7,4.4,0.52755905511811,2.0
264,24.884280051892134,1234.0,1.5,11.0,8.5,0.708661417322835,1.1
265,53.8,1524.0,3.7,8.0,4.8,0.3189,11.5
266,23.5,1284.0,0.0,9.1,9.95,0.523622047244095,0.8
267,23.5,641.0,2.0,6.5,0.54,0.255905511811024,1.5
268,9.8,384.0,1.8,5.4,1.1,0.236220472440945,1.7
269,52.9,1646.0,2.4,3.5,2.7,0.147637795275591,28.1
270,20.7,703.0,2.1,5.6,3.0,0.228346456692913,3.9
271,2.9,978.0,0.7,11.2,5.7,0.511811023622047,2.2
272,9.1,271.0,2.5,1.1,0.1,0.3,7.2
273,59.0,2043.0,4.5,9.0,2.3,0.669291338582677,6.5
274,75.2,1854.0,2.5,5.7,5.8,0.275590551181102,39.8
275,8.8,572.0,1.8267876662954934,6.7,2.1,0.338582677165354,0.6
276,67.0,2049.0,3.1,4.2,12.0,0.28740157480315,23.0
277,48.0,1841.0,1.8267876662954934,6.0,2.5,0.492125984251968,25.0
278,68.9,1643.0,3.6,9.0,3.5,0.177165354330709,1.1
279,61.0,2107.0,3.8,8.9,10.0,0.326771653543307,20.0
280,24.4,858.0,1.0,8.1,2.6,0.47244094488189,1.3
281,3.4,140.0,0.1,2.6,0.2,0.31496062992126,0.8
282,1.2,607.0,1.8267876662954934,15.8,1.0,0.649606299212598,1.1
283,26.0,982.0,2.9,13.0,4.3,0.590551181102362,1.9
284,15.6,647.0,1.8,6.8,0.6,0.153543307086614,1.5
285,2.5,421.0,2.5,1.5,0.7,0.374015748031496,1.5
286,3.5,1076.0,0.9,11.9,2.5,0.511811023622047,0.7
287,20.8,543.0,0.0,4.4,2.0,0.0590551181102362,20.5
288,5.2,244.0,0.2,7.8,0.1,0.0669291338582677,4.6
289,17.0,960.0,0.0,11.0,2.0,0.708661417322835,4.5
290,1.5,827.0,1.0,14.0,3.0,0.708661417322835,1.5
291,11.0,685.0,2.3,6.9,6.0,0.276,0.5
292,6.9,497.0,2.1,10.0,2.0,0.358267716535433,0.5
293,8.3,578.0,7.3,8.1,1.0,0.322834645669291,2.1
294,24.884280051892134,577.0,0.0,2.7,1.7,0.0393700787401575,12.3
295,13.0,760.0,1.0,14.0,1.5,0.551181102362205,3.5
296,20.2,616.0,3.9,8.3,0.5,0.31496062992126,2.3
297,15.0,705.0,1.3,6.9,4.0,0.279527559055118,2.0
298,3.3,669.0,1.3,9.3,2.4,0.393700787401575,2.3
299,71.6,1635.9,5.0,14.0,1.62,0.0826771653543307,1.6
300,43.0,2350.0,7.4,7.3,16.0,0.0039370078740157,39.5
301,28.0,906.0,1.5,2.8,6.4,0.0669291338582677,24.0
302,76.8,1850.0,3.1,7.5,1.0,0.354330708661417,24.0
303,3.2,2184.0,0.6,7.4,4.0,0.551181102362205,0.2
304,3.1,1230.0,1.8267876662954934,12.4,10.5,0.62992125984252,2.0
305,13.8,824.0,0.3,14.1,2.0,0.283464566929134,1.5
306,52.0,1451.0,1.8,4.2,6.9,0.259842519685039,30.0
307,56.0,1825.0,2.0,4.7,14.0,0.291338582677165,34.0
308,22.5,749.0,2.6,7.5,1.8,0.476377952755905,3.3
309,16.4,591.0,0.0,3.8,0.6,0.318897637795276,1.3
310,0.6,644.0,1.8267876662954934,19.4,1.2,0.133858267716535,0.5
311,18.0,898.0,1.8267876662954934,12.0,2.0,0.433070866141732,1.6
312,76.2,1840.0,3.12,6.25,6.25,0.418,30.0
313,11.0,339.0,0.0,2.5,3.0,0.0354330708661417,11.0
314,18.0,1141.0,1.5,12.0,2.8,0.551181102362205,0.0
315,68.0,2011.0,2.0,8.0,12.0,0.248031496062992,24.0
316,51.0,1791.0,1.8267876662954934,5.8,3.3,0.18503937007874,27.0
317,17.0,947.0,1.8267876662954934,12.0,2.0,0.484251968503937,1.0
318,4.3,434.0,1.4,10.0,0.4,0.4,3.6
319,22.0,968.0,0.7,2.4,9.3,0.05,20.2
320,76.0,1866.0,3.3,5.2,5.2,0.0590551181102362,27.0
321,72.0,1832.0,1.3,4.7,6.8,0.208661417322835,38.0
322,42.0,1057.0,6.5,8.4,0.5,0.433070866141732,6.0
323,26.1,883.0,0.5,3.4,7.0,0.0590551181102362,20.4
324,8.7,504.0,1.8267876662954934,7.8,2.1,0.47244094488189,0.5
325,1.7,367.0,1.9,4.0,2.5,0.381889763779527,0.5
326,54.0,1758.0,1.8267876662954934,7.7,8.6,0.433070866141732,30.0
327,13.6,402.0,0.3,3.2,1.7,0.0551181102362205,13.2
328,51.5,1803.0,1.0,5.3,2.3,0.2,28.8
329,19.0,633.0,1.8267876662954934,6.0,1.1,0.31496062992126,2.8
330,4.5,329.0,1.8267876662954934,8.0,0.8,0.354330708661417,1.2
331,2.1,450.0,1.8267876662954934,10.4,4.0,0.307086614173228,0.6
332,3.2,390.0,1.8267876662954934,9.7,3.0,0.267716535433071,1.4
333,26.9,1193.0,1.4,11.7,7.2,0.47244094488189,1.4
334,10.0,447.0,1.0,4.6,0.6,0.255905511811024,0.3
335,36.2,628.0,3.0,0.9,0.0,0.0,28.0
336,8.8,366.0,2.1,7.6,1.1,0.33,1.7
337,70.0,1982.0,4.0,6.4,8.7,0.279527559055118,35.0
338,64.0,1992.0,4.5,7.5,9.5,0.299212598425197,29.5
339,14.0,947.0,1.8267876662954934,15.0,2.4,0.452755905511811,0.8
340,3.5,1169.0,0.7,12.5,9.4,0.728346456692913,0.3
341,16.6,121.0,2.1,3.4,1.1,0.118110236220472,0.9
342,75.0,1774.0,4.6,12.0,4.1,0.350393700787402,22.0
343,13.2,641.0,2.05,8.64,0.455,0.434,4.55
344,4.4,644.0,1.6,8.4,1.0,0.416,2.0
345,65.0,1908.0,5.5,8.0,8.0,0.28740157480315,26.0
346,4.64,457.0,1.0,7.14,4.29,0.267,2.39
347,9.9,584.0,2.0,4.8,4.4,0.295275590551181,0.5
348,9.0,550.0,2.0,9.5,0.5,0.391,3.0
349,63.0,1762.0,8.0,7.5,7.3,0.031496062992126,26.0
350,3.2,1271.0,1.8267876662954934,15.4,9.8,0.625984251968504,1.2
351,27.0,1806.0,2.4,5.9,17.0,0.0393700787401575,25.0
352,69.8,1509.0,4.0,12.7,0.4,0.0051181102362204,4.5
353,41.0,1997.0,5.9,4.7,14.2,0.0275590551181102,40.7
354,6.2,236.0,1.5,2.6,0.5,0.25,1.1
355,61.5,1970.0,6.0,8.0,9.5,0.299212598425197,29.0
356,15.0,949.0,1.8267876662954934,12.0,1.3,0.78740157480315,3.0
357,7.0,430.0,3.5,11.0,0.3,0.535,3.5
358,62.0,2087.0,2.0,6.6,12.0,0.661417322834646,27.0
359,12.0,576.0,2.0,7.2,1.0,0.197,1.7
360,61.8,1807.0,5.7,9.6,5.1,0.0905511811023622,28.2
361,12.2,679.0,2.0,7.0,3.5,0.464566929133858,2.2
362,76.0,1930.0,0.9,5.1,1.5,0.0393700787401575,35.0
363,3.9,415.0,1.0,10.0,0.3,0.5,3.0
364,12.2,359.0,0.2,7.7,0.1,0.0433070866141732,11.7
365,63.0,1978.0,5.4,7.3,8.6,0.318897637795276,30.0
366,61.0,1976.0,6.1,9.7,7.1,0.141732283464567,19.0
367,12.7,502.0,1.8267876662954934,4.3,2.3,0.393700787401575,2.8
368,13.7,556.0,0.8,5.3,1.7,0.295275590551181,0.4
369,0.8,437.0,0.6,17.0,1.1,1.04724409448819,0.8
370,10.6,1169.0,5.4,8.2,2.1,0.394,1.2
371,20.0,720.0,0.8,3.7,3.7,0.0393700787401575,16.0
372,17.0,696.0,1.8267876662954934,7.1,2.4,0.275590551181102,2.4
373,68.0,1955.0,4.2,6.5,5.8,0.224409448818898,32.0
374,12.0,413.0,0.7,7.2,1.3,0.28,0.5
375,4.0,1967.0,4.0,23.4,12.8,1.14173228346457,2.9
376,49.0,1212.0,3.0,10.0,0.4,0.531496062992126,7.0
377,21.4,637.0,2.4,5.2,2.9,0.0748031496062992,20.1
378,68.0,1706.0,6.7,12.0,0.9,0.62992125984252,5.6
379,53.0,2039.0,7.0,8.0,12.0,0.07,31.0
380,6.5,477.0,2.0,1.0,0.7,0.311023622047244,5.0
381,52.6,1244.0,2.8,7.3,0.6,0.551181102362205,6.7
382,70.0,2001.0,2.6,7.3,8.0,0.0826771653543307,43.0
383,17.9,486.0,0.32,3.84,1.76,0.0567,14.6
384,2.8,267.0,1.8267876662954934,9.6,0.2,0.307086614173228,1.3
385,15.1,528.0,2.4,5.7,1.0,0.354330708661417,1.7
386,19.0,619.0,1.8267876662954934,2.4,4.2,0.0275590551181102,16.0
387,72.0,1913.0,4.0,3.8,1.6,0.220472440944882,16.0
388,12.0,484.0,1.8267876662954934,7.1,1.8,0.34251968503937,3.1
389,2.4,877.0,1.5,13.0,1.9,0.47244094488189,0.9
390,5.3,1266.0,1.8267876662954934,14.1,9.4,0.551181102362205,2.9
391,15.5,459.0,2.0,5.1,0.8,0.346456692913386,1.4
392,48.4,1141.0,2.7,9.6,0.7,0.480314960629921,7.7
393,72.0,1975.0,2.5,5.3,5.5,0.216535433070866,35.0
394,29.4,945.0,3.4,10.0,3.3,0.5,2.4
395,12.0,920.0,1.5,13.0,3.5,0.7,2.5
396,48.9,1488.0,1.8267876662954934,7.7,8.8,0.350393700787402,15.8
397,55.8,2145.0,1.8267876662954934,11.4,4.2,0.700787401574803,6.1
398,13.0,540.0,2.7,8.0,1.6,0.354330708661417,2.5
399,59.0,1878.0,1.0,4.6,14.0,0.311023622047244,35.0
400,63.0,1932.0,1.3,5.5,14.0,0.393700787401575,30.0
401,3.1,1230.0,1.8267876662954934,12.4,10.5,0.62992125984252,2.0
402,22.6,885.0,1.8267876662954934,9.2,2.4,0.52755905511811,2.9
403,72.6,2032.0,1.3,4.9,8.8,0.362204724409449,38.1
404,24.2,906.0,2.4,9.9,4.2,0.409448818897638,2.1
